ImageType
FLAIR_ED_
T1_ED_
DSC_PSR_ED_
DTI_TR_ED_
DTI_FA_NC_
DTI_AD_ET_
DSC_ap-rCBV_ET_
DTI_TR_ET_
DSC_PSR_ET_
T1_ET_
FLAIR_ET_
DSC_ap-rCBV_ED_
DTI_AD_ED_
FLAIR_NC_
DSC_PSR_NC_
T1_NC_
DTI_TR_NC_
DTI_FA_ED_
DSC_ap-rCBV_NC_
DTI_AD_NC_
DTI_FA_ET_
T1GD_NC_
T2_ET_
DTI_RD_ED_
T2_ED_
DSC_PH_NC_
DTI_RD_ET_
DTI_RD_NC_
DSC_PH_ET_
T1GD_ED_
T2_NC_
T1GD_ET_
DSC_PH_ED_
