Model,FPR,TPR,ROC
SVM,0.0,0.0858085808580858,0.8066025705638719
SVM,0.00847457627118644,0.0858085808580858,0.8066025705638719
SVM,0.009433962264150943,0.10541642399534072,0.8066025705638719
SVM,0.01694915254237288,0.17208309066200736,0.8066025705638719
SVM,0.018867924528301886,0.19169093379926228,0.8066025705638719
SVM,0.025423728813559324,0.258357600465929,0.8066025705638719
SVM,0.03389830508474576,0.32502426713259563,0.8066025705638719
SVM,0.0423728813559322,0.3916909337992623,0.8066025705638719
SVM,0.045454545454545456,0.40489225393127554,0.8066025705638719
SVM,0.05660377358490566,0.4245000970685304,0.8066025705638719
SVM,0.0847457627118644,0.4911667637351971,0.8066025705638719
SVM,0.09090909090909091,0.5076684139002136,0.8066025705638719
SVM,0.09433962264150944,0.5272762570374684,0.8066025705638719
SVM,0.13636363636363635,0.5371772471364783,0.8066025705638719
SVM,0.16981132075471697,0.5763929334109882,0.8066025705638719
SVM,0.18181818181818182,0.5829935934769948,0.8066025705638719
SVM,0.18867924528301888,0.6222092797515045,0.8066025705638719
SVM,0.19811320754716982,0.6418171228887594,0.8066025705638719
SVM,0.22727272727272727,0.7507280139778683,0.8066025705638719
SVM,0.2358490566037736,0.7703358571151234,0.8066025705638719
SVM,0.25471698113207547,0.7899437002523783,0.8066025705638719
SVM,0.2727272727272727,0.7932440302853815,0.8066025705638719
SVM,0.3181818181818182,0.7998446903513882,0.8066025705638719
SVM,0.32075471698113206,0.819452533488643,0.8066025705638719
SVM,0.36363636363636365,0.8392545136866628,0.8066025705638719
SVM,0.4090909090909091,0.8458551737526694,0.8066025705638719
SVM,0.45454545454545453,0.8491555037856727,0.8066025705638719
SVM,0.6363636363636364,0.8623568239176859,0.8066025705638719
SVM,0.660377358490566,0.9211803533294506,0.8066025705638719
SVM,0.6818181818181818,0.9244806833624538,0.8066025705638719
SVM,0.6886792452830188,0.9440885264997089,0.8066025705638719
SVM,0.7169811320754716,0.9636963696369637,0.8066025705638719
SVM,0.7272727272727273,0.9735973597359736,0.8066025705638719
SVM,0.7727272727272727,0.9768976897689768,0.8066025705638719
SVM,0.8636363636363636,0.9834983498349835,0.8066025705638719
SVM,0.9090909090909091,0.9933993399339934,0.8066025705638719
SVM,0.9545454545454546,1.0,0.8066025705638719
SVM,1.0,1.0,0.8066025705638719
