,precision,recall,f1-score,support
Mutated,0.25,1.0,0.4,11.0
NOS/NEC,0.46,0.67,0.54,79.0
Wildtype,0.95,0.78,0.86,398.0
accuracy,,,0.77,488.0
macro avg,0.55,0.82,0.6,488.0
weighted avg,0.86,0.77,0.8,488.0
