,precision,recall,f1-score,support
Mutated,0.5,0.8,0.62,5.0
NOS/NEC,0.3,0.65,0.41,17.0
Wildtype,0.92,0.71,0.8,101.0
accuracy,,,0.71,123.0
macro avg,0.57,0.72,0.61,123.0
weighted avg,0.82,0.71,0.74,123.0
