Model,FPR,TPR,ROC
LogReg,0.0,0.013201320132013201,0.7944387537758648
LogReg,0.00847457627118644,0.14653465346534653,0.7944387537758648
LogReg,0.009433962264150943,0.14653465346534653,0.7944387537758648
LogReg,0.01694915254237288,0.2132013201320132,0.7944387537758648
LogReg,0.018867924528301886,0.23280916326926812,0.7944387537758648
LogReg,0.02830188679245283,0.25241700640652304,0.7944387537758648
LogReg,0.045454545454545456,0.28872063676955934,0.7944387537758648
LogReg,0.05084745762711865,0.355387303436226,0.7944387537758648
LogReg,0.05660377358490566,0.3749951465734809,0.7944387537758648
LogReg,0.0660377358490566,0.4142108328479907,0.7944387537758648
LogReg,0.09090909090909091,0.5033197437390798,0.7944387537758648
LogReg,0.1320754716981132,0.5229275868763347,0.7944387537758648
LogReg,0.13636363636363635,0.5394292370413513,0.7944387537758648
LogReg,0.16037735849056603,0.5590370801786061,0.7944387537758648
LogReg,0.16981132075471697,0.598252766453116,0.7944387537758648
LogReg,0.1864406779661017,0.6649194331197825,0.7944387537758648
LogReg,0.22727272727272727,0.6946224034168123,0.7944387537758648
LogReg,0.2641509433962264,0.7142302465540672,0.7944387537758648
LogReg,0.2727272727272727,0.734032226752087,0.7944387537758648
LogReg,0.3181818181818182,0.7571345369831102,0.7944387537758648
LogReg,0.3490566037735849,0.776742380120365,0.7944387537758648
LogReg,0.36363636363636365,0.8031450203843914,0.7944387537758648
LogReg,0.36792452830188677,0.8227528635216462,0.7944387537758648
LogReg,0.4090909090909091,0.8260531935546496,0.7944387537758648
LogReg,0.45454545454545453,0.8392545136866628,0.7944387537758648
LogReg,0.5,0.8458551737526694,0.7944387537758648
LogReg,0.5283018867924528,0.8654630168899242,0.7944387537758648
LogReg,0.5454545454545454,0.8687633469229276,0.7944387537758648
LogReg,0.5660377358490566,0.9079790331974373,0.7944387537758648
LogReg,0.6363636363636364,0.9244806833624538,0.7944387537758648
LogReg,0.6818181818181818,0.9277810133954572,0.7944387537758648
LogReg,0.7272727272727273,0.9310813434284605,0.7944387537758648
LogReg,0.7727272727272727,0.9343816734614637,0.7944387537758648
LogReg,0.8018867924528302,0.9539895165987188,0.7944387537758648
LogReg,0.8181818181818182,0.9605901766647253,0.7944387537758648
LogReg,0.8636363636363636,0.9737914967967386,0.7944387537758648
LogReg,0.9339622641509434,0.9933993399339934,0.7944387537758648
LogReg,0.9545454545454546,1.0,0.7944387537758648
LogReg,1.0,1.0,0.7944387537758648
