,precision,recall,f1-score,support
0,1.0,0.6,0.75,5.0
1,0.38,0.47,0.42,17.0
2,0.89,0.87,0.88,101.0
accuracy,,,0.8,123.0
macro avg,0.76,0.65,0.68,123.0
weighted avg,0.82,0.8,0.81,123.0
