Model,FPR,TPR,ROC
XGB,0.0,0.2627062706270627,0.8388017733845093
XGB,0.009433962264150943,0.28231411376431764,0.8388017733845093
XGB,0.018867924528301886,0.34113764317608225,0.8388017733845093
XGB,0.02830188679245283,0.3607454863133372,0.8388017733845093
XGB,0.045454545454545456,0.3970491166763735,0.8388017733845093
XGB,0.05084745762711865,0.46371578334304026,0.8388017733845093
XGB,0.0660377358490566,0.48332362648029514,0.8388017733845093
XGB,0.09090909090909091,0.5163269268103282,0.8388017733845093
XGB,0.09433962264150944,0.535934769947583,0.8388017733845093
XGB,0.10377358490566038,0.5555426130848379,0.8388017733845093
XGB,0.13636363636363635,0.6380508639099204,0.8388017733845093
XGB,0.16101694915254236,0.7047175305765871,0.8388017733845093
XGB,0.18181818181818182,0.7146185206755971,0.8388017733845093
XGB,0.20754716981132076,0.7342263638128519,0.8388017733845093
XGB,0.2830188679245283,0.7538342069501068,0.8388017733845093
XGB,0.3018867924528302,0.7734420500873617,0.8388017733845093
XGB,0.3113207547169811,0.7930498932246167,0.8388017733845093
XGB,0.3181818181818182,0.8227528635216462,0.8388017733845093
XGB,0.32075471698113206,0.8423607066589011,0.8388017733845093
XGB,0.4090909090909091,0.8489613667249077,0.8388017733845093
XGB,0.4339622641509434,0.8685692098621627,0.8388017733845093
XGB,0.45454545454545453,0.8982721801591924,0.8388017733845093
XGB,0.5283018867924528,0.9178800232964472,0.8388017733845093
XGB,0.5454545454545454,0.9277810133954572,0.8388017733845093
XGB,0.6320754716981132,0.9473888565327121,0.8388017733845093
XGB,0.6363636363636364,0.9539895165987188,0.8388017733845093
XGB,0.6818181818181818,0.957289846631722,0.8388017733845093
XGB,0.7272727272727273,0.9638905066977287,0.8388017733845093
XGB,0.7727272727272727,0.9704911667637353,0.8388017733845093
XGB,0.7735849056603774,0.9900990099009901,0.8388017733845093
XGB,0.8636363636363636,0.9933993399339934,0.8388017733845093
XGB,0.9090909090909091,0.9966996699669967,0.8388017733845093
XGB,1.0,1.0,0.8388017733845093
