,precision,recall,f1-score,support
Mutated,0.36,1.0,0.53,5.0
NOS/NEC,0.33,0.41,0.37,17.0
Wildtype,0.91,0.79,0.85,101.0
accuracy,,,0.75,123.0
macro avg,0.53,0.73,0.58,123.0
weighted avg,0.81,0.75,0.77,123.0
