,precision,recall,f1-score,support
0,0.75,1.0,0.86,9.0
1,0.78,0.98,0.87,63.0
2,1.0,0.94,0.97,318.0
accuracy,,,0.95,390.0
macro avg,0.84,0.97,0.9,390.0
weighted avg,0.96,0.95,0.95,390.0
