,precision,recall,f1-score,support
Mutated,0.79,1.0,0.88,11.0
NOS/NEC,0.54,0.89,0.67,79.0
Wildtype,0.97,0.84,0.9,398.0
accuracy,,,0.85,488.0
macro avg,0.77,0.91,0.82,488.0
weighted avg,0.9,0.85,0.87,488.0
